commentId,text,time,isLiked,likeCount,author,channel,votes,photo,authorIsChannelOwner
Ugzj-VKKXT4cDecHYv94AaABAg,"Redes Sociales:
- Facebook: https://facebook.com/elprestook
- Instagram: https://www.instagram.com/elprestook/
- Twitter: https://twitter.com/elpresto2ok",Hace 1 semana,False,87,El Presto,UCHDwIzNtE5vPScYLLXutkHA,87,https://yt3.ggpht.com/a/AATXAJzO1TFNeFDXbqk9qr7ZlMyEu81tSAaGPk5FwetTwQ=s48-c-k-c0xffffffff-no-rj-mo,True
UgxmKAx59p0XaoqLdet4AaABAg,"Es hora de tomar las calles, no nos achiquemos",Hace 1 semana,False,439,diegol,UCy2Kx5t7jO9lJk2aHWyHarg,439,https://yt3.ggpht.com/a/AATXAJylrQS1zsnTSS6KTXiPfMGQoPlSjUc3pYn0dA=s48-c-k-c0xffffffff-no-rj-mo,False
Ugy6wJlf660qDkTMxGp4AaABAg,"-ESLOGAN : ¡¡¡"" EL PUEBLO BLANCO Y CELESTE,
PIDE LIBERTAD...
CUESTE LO QUE CUESTE ""!!!",Hace 1 semana,False,209,Daniel Sargenti,UCAXbQLFEgvmcXmb9la2wUog,209,https://yt3.ggpht.com/a/AATXAJy6KtWUezxAkS705XjgODUSbFfOFXLrQ2_YxTv3gA=s48-c-k-c0xffffffff-no-rj-mo,False
UgyBxNEtTrqj-pDklO54AaABAg,LA LIBERTAD NO SE NEGOCIA ES NUESTRA,Hace 1 semana,False,33,alicia maria Mantuan,UClrizFhf2yyzgQwUdgs5juQ,33,https://yt3.ggpht.com/a/AATXAJyIRnn84bcU8bIcKN1hV55umzXkObICSzCbPZ1UMQ=s48-c-k-c0xffffffff-no-rj-mo,False
UgyGzr7-2KOtmCDZc8x4AaABAg,Deberían enseñar en los colegios a reconocer a los psicópatas y a lidiar con ellos. Sería un gran avance para la humanidad.,Hace 1 semana,False,132,LUIS BERNIE,UCTkNWnO_tYIS1gWjGB9FF7A,132,https://yt3.ggpht.com/a/AATXAJy5QqpNGCRCQfdSraWOM3Rg6yElMLe9LbDN6LkG_A=s48-c-k-c0xffffffff-no-rj-mo,False
Ugxwjiwvz26q_5KJ0nZ4AaABAg,"La dictadura redobla la apuesta, ahora nos toca a nosotros cantar el vale cuatro...",Hace 1 semana,False,114,Claudio Freiheit,UCD94JjulEAaAGAqO5XNeqWg,114,https://yt3.ggpht.com/a/AATXAJxpeLZj9qdMv-QpqWc0XXyZAXCcHQD7gl1rMw=s48-c-k-c0xffffffff-no-rj-mo,False
Ugx5urwPEgw8PmaTF1N4AaABAg,"ALBERTO: ANDÁ SUBIENDO A LA TERRAZA DE LA ROSADA, EL HELICÓPTERO TIENE EL TANQUE A FULL...
PD: y llevate a la BRUJA de copiloto. LA PATRIA LE DIRÁ GRACIAS !",Hace 1 semana,False,132,Pablo S,UCByyx61KJ4qpGopj86QmK_w,132,https://yt3.ggpht.com/a/AATXAJxTu3kMTRWt3c9RzkJSCBN-Ds1C_Fu3jsWro9cV5g=s48-c-k-c0xffffffff-no-rj-mo,False
Ugz2ekY4RVPb6gCsELp4AaABAg,"""Basta de festejar que la plaza queda limpia."" Emmanuel Danann.",Hace 1 semana,False,130,Emanuel Salas,UCl36vDe7kp6PSqJYXhZMK7g,130,https://yt3.ggpht.com/a/AATXAJwk2_xzVA7gRMLvhAgk2a4P6a9RnX2mOKoq8TOtYLg=s48-c-k-c0xffffffff-no-rj-mo,False
UgzaXhpkrZYoIDQDuDp4AaABAg,SON LO MAAAAAASSSSS. SON NECESARIOS. LOS AMO A TODOS,Hace 1 semana,False,70,ANI WALTON,UCmmtHw9tmBE64Su8MIdUb2A,70,https://yt3.ggpht.com/a/AATXAJwo_MXxWlJlkP8ZSCBH_E02eWvkJEXbVqWuPi6f=s48-c-k-c0xffffffff-no-rj-mo,False
Ugwc4w_bpfXWmD5qOL94AaABAg,53:05 El chorro se pone a llorar y la cana lo perdona? Este país es una película de Chaplin...,Hace 1 semana,False,78,Gonzalo Uribe,UCRmB6gZUc1kcHe-SPHgwNag,78,https://yt3.ggpht.com/a/AATXAJxlgtalamKCan47z7aCkPhytCI3cLgfIEGU4g=s48-c-k-c0xffffffff-no-rj-mo,False
UgweoWWI1I4ya1eo4aR4AaABAg,Te llaman vende patria por querer comerciar con el exterior. Ellos literalmente están vendiéndole el país a China.,Hace 1 semana,False,65,Sebastian Giles,UChRrS-dxvmv77MRHjOOr6bQ,65,https://yt3.ggpht.com/a/AATXAJwGTzyYm-mOmeY67MEIJMxz5gC00Z3XjQw7IQ=s48-c-k-c0xffffffff-no-rj-mo,False
UgwetHPpvC6opPuNNB54AaABAg,"Los felicito, con jóvenes como  ustedes luchando con esas ganas, Argentina puede cambiar, mi apoyo incondicional a todos.",Hace 1 semana,False,235,Beatriz Dechert,UCJhAUwHQflDmYKrRIU73d9g,235,https://yt3.ggpht.com/a/AATXAJy9nJYGuTsFoxW3IBteAOFzHCN9aoGFJtHjbw=s48-c-k-c0xffffffff-no-rj-mo,False
Ugy-FSbxrM5OCi3_lyZ4AaABAg,El momento más esperado por toda Latinoamérica unida,Hace 1 semana,False,201,Pablo Torres,UC9waZHwbeNRwxuZ5a1uVpkA,201,https://yt3.ggpht.com/a/AATXAJyo22PGJMMum-w0NEZ6j3DjDIUHzYBuHfXxS9uYag=s48-c-k-c0xffffffff-no-rj-mo,False
UgyTLLfeZWtsvuLot5d4AaABAg,"""Todo buen ciudadano tiene una obligación de sacrificarse por la libertad de su país."" 
General San Martín, Mendoza, 4 de septiembre de 1818.",Hace 1 semana,False,17,Vanesa M,UCq-03j02JHzT4C4TxwvuQpQ,17,https://yt3.ggpht.com/a/AATXAJwZ5YAtd5e5o2U3VvigIB8-AfUnMXfoFK0qIeJl=s48-c-k-c0xffffffff-no-rj-mo,False
Ugw8eFzrHzfi3viRm6h4AaABAg,Viva la libertad carajooo,Hace 1 semana,False,41,mauro lucero,UCkinlFkLE_evFuZSJisUdQg,41,https://yt3.ggpht.com/a/AATXAJyc-huKNLQWduXqUbc0JmWmXPk-jqXxrkDgTuxg=s48-c-k-c0xffffffff-no-rj-mo,False
UgwooXOgsSShs9FGlFR4AaABAg,Traidores a la patria exijamos a los jueces que la saquen del jopo y al Alberto renuncia y traidor a la patria acá en Córdoba hay mucho huevo,Hace 1 semana,False,62,Jorge Nuñez,UCjZlt4X-o4DUyBzCNcLfIIw,62,https://yt3.ggpht.com/a/AATXAJwO0V4HqrNfu7FynzBAzivGZ1XoLn2MWGcXfQ=s48-c-k-c0xffffffff-no-rj-mo,False
